slug,title_en,title_ru,recovery_status,set_slugs
accused-of-causing-violence-in-children,Accused Of Causing Violence In Children,Обвинён в росте детской преступности,full_page,the-narrow-s-cape
ace-in-the-hole,Ace in the Hole /,,full_page,beating-a-dead-horse
acephalous-equestrian,Acephalous Equestrian,Кавалерист обезглавленный,full_page,munchkin-steampunk
achieve-purrfection,Achieve Purrfection,Достигни просветления,full_page,munchkin-kittens
achilles’-heels,Achilles’ Heels,Ахиллесовы подп ятки,full_page,munchkin-legends
acid-jet,Acid Jet,Ловушка! Струя кислоты,full_page,the-clown-wars
acid-rain,Acid Rain,Катастрофа! Кислотный дождь,full_page,apocalypse|munchkin-apocalypse
acro-bats,Acro Bats,Канатопыри,full_page,munchkin-bites
action-hero,Action Hero,Герой боевика,full_page,munchkin-zombies
ada-loveless,Ada Loveless,Ада Лавлесс,full_page,munchkin-steampunk
adequate-brown-shark,Adequate Brown Shark,Вменяемая бурая акула,full_page,munchkin-booty
adjuticat,Adjuticat,Служитель мимимиды,full_page,munchkin-kittens
adroitosity,Adroitosity,Ловкоручие,full_page,munchkin-bites
aegis,Aegis /,,full_page,pants-macabre
aegis-0,Aegis,Эгида,full_page,munchkin-legends
aeronautic-armor,Aeronautic Armor,Броня аэронавта,set_listing_only,munchkin-steampunk
aerosol-devitalizer,Aerosol Devitalizer,Аэрозольный умертвитель,full_page,munchkin-steampunk
aether-bunny,Aether Bunny,Эфирный кролик,full_page,munchkin-steampunk
afghuli-raiders,Afghuli Raiders /,,full_page,munchkin-conan
afterburner,Afterburner,Двигатель внешнего сгорания,full_page,half-horse-will-travel
agent-orange,Agent Orange /,,full_page,munchkin-impossible
ah-chu,Ah Chu,Чи Хай,full_page,munchkin-fu
aint-got-no-body,Ain't Got No Body,Страдай от безтелья,full_page,armed-and-dangerous
air-cooled,Air-Cooled,С Поддувом,full_page,cheat-with-both-hands
air-freshener,Air Freshener /,,full_page,pants-macabre
airport-security,Airport Security,Охранник аэропорта,full_page,munchkin-zombies
akata,Akata,Аката,full_page,munchkin-pathfinder
alarm-clock,Alarm Clock,Будильник,full_page,the-need-for-steed
albatross-around-yer-neck,Albatross Around Yer Neck! /,,full_page,jump-the-shark
alchemist,Alchemist,Алхимик,full_page,munchkin-pathfinder
alien,Alien /,,full_page,axe-cop|munchkin-axe-cop
alien-backscratcher,Alien Backscratcher,Инопланетный спиночёс,full_page,the-clown-wars
alien-bathroom,Alien Bathroom,Инопланетная уборная,full_page,the-clown-wars
alien-boudoir,Alien Boudoir,Инопланетная спальня,full_page,the-clown-wars
alien-candy,Alien Candy,Чужеродная Карамелька,full_page,star-munchkin
alien-cycle-gang,Alien Cycle Gang,Космобайкеры,full_page,the-narrow-s-cape
alien-experiment,Alien Experiment,Эксперимент Пришельцев,full_page,star-munchkin
alien-invasion,Alien Invasion,Катастрофа! Инопланетное вторжение,full_page,apocalypse|munchkin-apocalypse
alien-pet,Alien Pet,Пришлая Зверюшка,full_page,star-munchkin
alien-shoplifters,Alien Shoplifters /,,full_page,axe-cop|munchkin-axe-cop
alien-wheep-gun,Alien Wheep Gun,Инопланетный хлёсткострел,full_page,super-munchkin
all-hands-on-their-feet,All Hands On Their Feet /,,full_page,jump-the-shark
all-roads-lead-to-rome,All Roads Lead To Rome,Все дороги ведут в Рим,full_page,demented-dungeon|demented-dungeons
all-your-beast-are-belong-to-us,All Your Beast Are Belong To Us,Все Твой Тварь Принадлежать Нам,full_page,star-munchkin
almighty-cod,Almighty Cod,Шпрот Всемогущий,full_page,munchkin-booty
also-sprocket-zarathustra,Also Sprocket Zarathustra,Так зацепил Зверотустра,full_page,munchkin-steampunk
alternate-world-version,Alternate World Version,Проекция из альтернативного мира,full_page,super-munchkin
aluminum-bat,Aluminum Bat,Ракетопырь,full_page,munchkin-bites
aluminum-foil,Aluminum Foil,Фольговая рапира,set_listing_only,munchkin-pathfinder
am-radio,AM Radio,Катастрофа! Радио «Блатняк»,full_page,apocalypse|munchkin-apocalypse
amazingly,Amazingly,Поразительный,full_page,cheat-with-both-hands
amazingly-cool-sunglasses,Amazingly Cool Sunglasses,Безумно Крутые Солнцезащитные Очки,full_page,munchkin-fu
amazon,Amazon,Амазонка,full_page,munchkin
ambush,Ambush /,,full_page,the-good-the-bad-and-the-munchkin
american,American /,,full_page,munchkin-impossible
american-pie,American Pie,Американский Пирог,full_page,munchkin-impossible
amikiri,Amikiri /,,full_page,monky-business
amnesia,Amnesia,Амнезия,full_page,munchkin-cthulhu|star-munchkin
an-arm-and-a-leg,An Arm and a Leg,Рука и нога,full_page,munchkin-zombies
ancestral-memory,Ancestral Memory,Память предков,full_page,munchkin-bites
anchor,Anchor /,,full_page,jump-the-shark
anchovy-pizza,Anchovy Pizza,Килечная пицца,full_page,munchkin-booty
ancient,Ancient,Престарелый,full_page,munchkin
ancient-mongol-bow,Ancient Mongol Bow,Лук Древней Монголии,full_page,munchkin-fu
and-its-clan,...And Its Clan,,set_listing_only,monky-business
and-its-clone,...And Its Clone,… И Его Клон,full_page,star-munchkin
and-its-little-friends,...And Its Little Friends /,,full_page,monster-enhancers
and-its-spawn,...And Its Spawn,…и его отродья,full_page,munchkin-cthulhu
android,Android,Андроид,full_page,star-munchkin
angry-cat,Angry Cat,Злой кот,full_page,munchkin-zombies
angsty-monolog,Angsty Monolog,Горестный монолог,full_page,the-narrow-s-cape
anime-amulet,Anime Amulet,Анимешный Амулет,full_page,munchkin-fu
ankh-of-angst,Ankh of Angst,Анх Страха,full_page,munchkin-bites
ankle-jets,Ankle Jets,Налодыжные турбины,set_listing_only,munchkin-steampunk
annihilation,Annihilation,Аннигиляция,full_page,unnatural-axe
annoying-singing-tree,Annoying Singing Tree /,,full_page,axe-cop|munchkin-axe-cop
another-zombie,Another Zombie,Другой зомби,full_page,munchkin-zombies
anthrakitis,Anthrakitis,Манчкинская язва,set_listing_only,munchkin-pathfinder
anti-clause,Anti-Clause /,,full_page,santas-revenge
anti-curse-purse,Anti-Curse Purse,Противопроклятная сумочка,full_page,munchkin-pathfinder
anti-phlogiston-undergarments,Anti-Phlogiston Undergarments,Антифлогистонное бельё,set_listing_only,munchkin-steampunk
anti-stake-kevlar-™,Anti-Stake Kevlar ™,Антиколовый кевлар,full_page,munchkin-bites
antimatter,Antimatter,Антиматерия,full_page,star-munchkin
antique-vinyl,Antique Vinyl,Крышесносная музыка,full_page,munchkin-zombies
antisocial-media,Antisocial Media,Антисоциальные медиа,full_page,sheep-impact
antlers,Antlers,Оленьи рога,full_page,armed-and-dangerous
ants,Ants,Муравьи,full_page,munchkin-zombies
anubis,Anubis,Анубис,full_page,de-ranged
ape-with-horns,Ape With Horns /,,full_page,munchkin-skullkickers|skullkickers
apocalypse-mao,Apocalypse Mao,Кормчий Апокалипсиса,full_page,sheep-impact
apocalypso,Apocalypso /,,full_page,munchkin-impossible
apocalyptic,Apocalyptic,Апокалиптический,full_page,sheep-impact
apple-hands,Apple Hands /,,full_page,axe-cop|munchkin-axe-cop
applejack,Applejack /,,full_page,beating-a-dead-horse
apples-of-derketa,Apples of Derketa,Яблоки Деркеты,full_page,munchkin-conan
aquilonian-crossbow,Aquilonian Crossbow /,,full_page,munchkin-conan
aquilonian-renegade,Aquilonian Renegade /,,full_page,munchkin-conan
aquilonian-sword-of-state,Aquilonian Sword of State /,,full_page,munchkin-conan
arbitrary-game-balance,Arbitrary Game Balance,Мастерский произвол!,full_page,de-ranged
archerfish,Archerfish /,,full_page,fish-ships
ardent-spirits,Ardent Spirits,Разгорячённый напиток,full_page,munchkin-steampunk
arena-of-azathoth,Arena Of Azathoth /,,full_page,crazed-caverns
argo-knots,Argo Knots,Гордиевы узлы,full_page,munchkin-legends
argyle-sweater-vest,Argyle Sweater Vest,Вязаный жилет с «ромбиками»,full_page,munchkin-hipsters
arkham-subway-station,Arkham Subway Station /,,full_page,crazed-caverns
arkhamster,Arkhamster /,,full_page,call-of-cowthulhu
arm,Arm,Рука,full_page,munchkin-zombies
arm-wrestling,Arm Wrestling! /,,full_page,munchkin-conan
arm-y-boots,Arm-y Boots,Берцы со шнуруками,full_page,apocalypse|munchkin-apocalypse
arm-y-fatigues,Arm-y Fatigues,Камуфляж средней руки,full_page,sheep-impact
arm-y-helmet,Arm-y Helmet,Рукастая каска,full_page,the-need-for-steed
arm-y-surplus,Arm-y Surplus,Вырученное со склада,full_page,apocalypse|munchkin-apocalypse
arm-y-truck,Arm-y Truck,Грузовик с ручной коробкой,full_page,sheep-impact
armadillo,Armadillo /,,full_page,the-good-the-bad-and-the-munchkin
armed-and-dangerous,Armed and Dangerous,Мастер на все руки,full_page,armed-and-dangerous
armor-of-ennui,Armor of Ennui,Броня апатии,full_page,munchkin-bites
armor-of-faerie,Armor of Faerie,Фейские доспехи,full_page,munchkin-bites
armor-of-insults,Armor of insults,Оскорбительный доспех,set_listing_only,munchkin-pathfinder
armor-of-skulls,Armor of Skulls,Доспех из черепов,set_listing_only,munchkin-pathfinder
armor-piercing,Armor-Piercing,Бронебойный,full_page,cheat-with-both-hands
armor-plated,Armor-Plated,Бронированный,full_page,cheat-with-both-hands
armored,Armored,Броневой,full_page,the-need-for-steed
arms-locker,Arms Locker,Оружейный Ящик,full_page,star-munchkin
army-ants,Army Ants,Муравьи-легионеры,full_page,munchkin-legends
army-chihuahua,Army Chihuahua /,,full_page,axe-cop|munchkin-axe-cop
arrbucks,Arrbuck's,"Кофе ""Каррамбакс""",full_page,munchkin-booty
arrrrrquebus,Arrrrrquebus /,,full_page,jump-the-shark
arrrrrrrr,Arrrrrrrr!,Авра-а-а-ал!,full_page,munchkin-booty
artisanal,Artisanal,...ручной работы,full_page,munchkin-hipsters
asmodeus,Asmodeus,Асмодей,full_page,munchkin-bites
asp,Asp,Палицайка,full_page,apocalypse|munchkin-apocalypse
aspis-agent,Aspis Agent,Агент аспидов,full_page,munchkin-pathfinder
assassin,Assassin /,,full_page,munchkin-impossible
assassin-bug,Assassin Bug /,,full_page,munchkin-impossible
assist-the-police-in-their-inquiries,Assist the Police in Their Inquiries,Дай ценные показания,set_listing_only,munchkin-steampunk
asteroid-belt,Asteroid Belt,Астероидный пояс,full_page,the-clown-wars
asteroid-minors,Asteroid Minors,Малолетки на астероидах,full_page,the-clown-wars
astoundingly,Astoundingly,Изумительный,full_page,cheat-with-both-hands
astro-food,Astro-Food,Космохавчик,full_page,the-clown-wars
astro-muskrat-space-pirate,Astro-Muskrat Space Pirate,Звездномускусная Крыса - Космический Пират,full_page,star-munchkin
ate-at-convention-snack-bar,Ate at Convention Snack Bar,Фестивальные закуски,full_page,the-narrow-s-cape
atlach-nacha,Atlach-Nacha /,,full_page,the-unspeakable-vault
atlantean-sword,Atlantean Sword /,,full_page,munchkin-conan
atom-bomb,Atom Bomb /,,full_page,axe-cop|munchkin-axe-cop
atomic-zombie,Atomic Zombie,Атомный зомби,full_page,armed-and-dangerous|munchkin-zombies
attempt-to-grapple,Attempt to Grapple,Познай суть вещей,set_listing_only,munchkin-pathfinder
attend-the-world’s-fair,Attend the World’s Fair,Посети всемирную выставку,set_listing_only,munchkin-steampunk
aughost-derwraith,Aughost Derwraith,Огастень Привидерлет,full_page,munchkin-cthulhu
auntie-paladin,Auntie Paladin,Антипаладёща,full_page,clerical-errors
aura-of-good,Aura of Good,Аура Добра,full_page,munchkin-bites
auspicious-ivory-gutting-hook,Auspicious Ivory Gutting Hook,,set_listing_only,monky-business
autoflee-1000,Autoflee 1000,Наутёк 1000,full_page,the-clown-wars
automatic-monocle,Automatic Monocle,Автоматический монокль,full_page,munchkin-steampunk
avast-wasteland,Avast Wasteland!,Вижу землю!,full_page,munchkin-booty
avatar,Avatar,Аватар,full_page,half-horse-will-travel
avocado,Avocado /,,full_page,axe-cop|munchkin-axe-cop
avocado-bombs,Avocado Bombs /,,full_page,axe-cop|munchkin-axe-cop
awesome-new-costume,Awesome New Costume /,,full_page,axe-cop|munchkin-axe-cop
awful-green-thing,Awful Green Thing,Зловещая Зеленая Тварь,full_page,star-munchkin
awful-green-thing-0,Awful Green Thing,Кошмарная зелёная тварь,full_page,munchkin-promo
awful-socks,Awful Socks,Ужасные носки,full_page,clerical-errors
awwwk-nice-chest,Awwwk! Nice Chest!,Груды сокровищ!,full_page,munchkin-booty
axe,Axe /,,full_page,axe-cop|munchkin-axe-cop
axe-cop-lacks-top,Axe Cop Lacks Top! /,,full_page,axe-cop|munchkin-axe-cop
axe-gun-technique,Axe & Gun Technique /,,full_page,axe-cop|munchkin-axe-cop
axe-of-contrition,Axe of Contrition,Секира раскаяния,full_page,munchkin-bites
axe-star-energy-drink,Axe Star Energy Drink /,,full_page,axe-cop|munchkin-axe-cop
axes-of-evil,Axes of Evil /,,full_page,munchkin-skullkickers|skullkickers
b-movie-girls,B-Movie Girls,Пчёлки из массовки,full_page,the-clown-wars
baal-pteor-the-strangler,Baal-pteor the Strangler /,,full_page,munchkin-conan
baba-yaga,Baba Yaga,Баба-яга,full_page,munchkin-legends
babbage-cabbage,Babbage Cabbage,Аналитический кочан Бэббиджа,full_page,munchkin-steampunk
baby,Baby,Грудной,full_page,munchkin
baby-0,Baby /,,full_page,axe-cop|munchkin-axe-cop
baby-oil,Baby Oil,Детское масло,full_page,unnatural-axe
baby-powder,Baby Powder,Детский Тальк,full_page,munchkin-fu
baby-seal,Baby SEAL,Морской котёнок,full_page,sheep-impact
babyhead-squid,Babyhead Squid /,,full_page,axe-cop|munchkin-axe-cop
babysitter,Babysitter,Сиделка,full_page,munchkin-zombies
back-banner,Back Banner,Флаг Тебе на Спину,full_page,munchkin-fu
back-in-the-saddle,Back in the Saddle /,,full_page,beating-a-dead-horse
back-on-track,Back on Track,Пешком по шпалам на юга,set_listing_only,munchkin-pathfinder
backpack-eaten,Backpack Eaten,Шмотник сожран!,full_page,munchkin-cthulhu
backpack-full-of-dynamite,Backpack Full of Dynamite,Полный рюкзак динамита,full_page,munchkin-cthulhu
bad-ass,Bad Ass,Зосланец,full_page,clerical-errors
bad-ass-bandanna,Bad-Ass Bandanna,Сорвиголовная бандана,full_page,munchkin
bad-egg,Bad Egg /,,full_page,beating-a-dead-horse
bad-feng-shui,Bad Feng Shui,Не фэншуйно,full_page,munchkin-fu
bad-guys-cheat,Bad Guys Cheat! /,,full_page,axe-cop|munchkin-axe-cop
bad-guys-wished-your-armor-away,Bad Guys Wished Your Armor Away! /,,full_page,axe-cop|munchkin-axe-cop
bad-omens,Bad Omens,Дурные знамения,full_page,munchkin-legends
bad-run-o-cards,Bad Run o' Cards! /,,full_page,jump-the-shark
bad-santa,Bad Santa /,,full_page,axe-cop|munchkin-axe-cop
bad-smell,Bad Smell,Вонище,full_page,cheat-with-both-hands
bad-steed-feed,Bad Steed Feed,Не в коня корм,full_page,half-horse-will-travel
bag-of-caltrops,Bag of Caltrops,Мешок шипов,full_page,unnatural-axe
bag-of-gold,Bag of Gold /,,full_page,munchkin-conan
bag-of-holding,Bag of Holding,Беспардонная сума!,full_page,de-ranged
bagpipes,Bagpipes,Волынка,full_page,munchkin-cthulhu
balanced-diet,Balanced Diet,Сбалансированная диета,full_page,armed-and-dangerous
ball-of-yarn,Ball of Yarn,Клубок Ниток,full_page,star-munchkin
ballistic-armor,Ballistic Armor,Баллистическая жилетка,full_page,apocalypse|munchkin-apocalypse
banana-boat,Banana Boat /,,full_page,fish-ships
banana-fu,Banana Fu,Банан-Фу,full_page,munchkin-fu
banana-guard,Banana Guard /,,full_page,adventure-time|munchkin-adventure-time
bananafanafofaser,Bananafanafofaser,Банановентофазер,full_page,star-munchkin
baneberry-juice,Baneberry Juice,Сок из отравики,set_listing_only,munchkin-pathfinder
banshee,Banshee,Баньши,full_page,munchkin-bites
bar-ghast,Bar Ghast /,,full_page,pants-macabre
barb-y-doll,Barb-y Doll /,,full_page,pants-macabre
barbarian,Barbarian /,,full_page,munchkin-conan
barbarian-booties,Barbarian Booties /,,full_page,conan-the-barbarian
barbaric,Barbaric,Варварский,full_page,half-horse-will-travel
barbecue-fork,Barbecue Fork,Вилка-кормилка,full_page,unnatural-axe
barbed-wire,Barbed Wire /,,full_page,the-good-the-bad-and-the-munchkin
barbells,Barbells,Супер-гантель,full_page,super-munchkin
barber-shop-quartet,Barber Shop Quartet /,,full_page,the-good-the-bad-and-the-munchkin
bard,Bard,Бард,full_page,clerical-errors|the-need-for-steed
bard-hireling,Bard Hireling,Бард-наёмничек,full_page,the-need-for-steed
barding,Barding,Бардачок,full_page,half-horse-will-travel
barista,Barista,Бариста,full_page,munchkin-zombies
bark-armor,Bark Armor,Доспехи из коры,full_page,munchkin-legends
barnacle-bill,Barnacle Bill /,,full_page,jump-the-shark
baron-boron,Baron Boron,Барон Барон,full_page,super-munchkin
baron-munchkinhausen,Baron Munchkinhausen,Барон Манчкингаузен,full_page,de-ranged
barrel,Barrel /,,full_page,jump-the-shark
barrel-of-monkeys,Barrel of Monkeys,Бочка мартышек,full_page,clerical-errors
baseball-bats,Baseball Bats,Битопыри,full_page,munchkin-bites
baseball-players,Baseball Players /,,full_page,axe-cop|munchkin-axe-cop
basket-case,Basket Case /,,full_page,munchkin-easter-eggs
basket-of-ferns,Basket of Ferns,Папоротник в корзинке,full_page,apocalypse|munchkin-apocalypse
basketball-player,Basketball Player,Баскетболист,full_page,armed-and-dangerous
bass-ackward,Bass Ackward,Надом заперёд,full_page,munchkin-zombies
bat-bat,Bat Bat,Оттопырица,full_page,munchkin-bites
bat-boy,Bat Boy,Мальчишка с битой,full_page,armed-and-dangerous
bat-masterson,Bat Masterson /,,full_page,the-good-the-bad-and-the-munchkin
bat-mobile,Bat Mobile,Бит-мобиль,full_page,super-munchkin
bat-warthog,Bat Warthog /,,full_page,axe-cop|munchkin-axe-cop
bat-warthog-armor,Bat Warthog Armor /,,full_page,axe-cop|munchkin-axe-cop
bat-winged,Bat-Winged /,,full_page,pants-macabre
bathtub-duckie,Bathtub Duckie,Банный утёнок,full_page,munchkin-booty
batrachian,Batrachian /,,full_page,call-of-cowthulhu
battering-ram,Battering Ram,Стенобитный таран,full_page,munchkin-promo
battle-armor,Battle Armor,Боевой Скафандр,full_page,star-munchkin
bazooka,Bazooka,Базука,full_page,munchkin-impossible
bazooka-0,Bazooka,Базука,full_page,apocalypse|munchkin-apocalypse
bear-feet,Bear Feet,Косолапы,full_page,de-ranged
bear-trap,Bear Trap,Капкан,full_page,armed-and-dangerous
bearskin-coat,Bearskin Coat /,,full_page,beating-a-dead-horse
beat-a-dead-horse,Beat A Dead Horse /,,full_page,the-good-the-bad-and-the-munchkin
beautiful-assistant,Beautiful Assistant,Прелестный Ассистент,full_page,star-munchkin
beautiful-stepsister,Beautiful Stepsister,Сводная сестра-красотка,set_listing_only,munchkin-princesses
become-gigantic,Become Gigantic /,,full_page,axe-cop|munchkin-axe-cop
become-super-strong,Become Super Strong /,,full_page,axe-cop|munchkin-axe-cop
bedridden,Bedridden,Обессиленный,full_page,cheat-with-both-hands
bee-go,Bee-Go /,,full_page,call-of-cowthulhu
beehemoth,Beehemoth,Пчелопотам,full_page,munchkin-pathfinder
beer-belch,Beer Belch,Пивная отрыжка,full_page,super-munchkin
beer-gas-grenade,Beer Gas Grenade,Пивогазовая Граната,full_page,star-munchkin
beguilement,Beguilement,Хитрование,full_page,munchkin-bites
being-of-impure-thought,Being of Impure Thought,Существо грязной мысли,full_page,star-munchkin
belay-the-aft-topgallants,Belay the Aft Topgallants,Поднять бушприт! Сточить якорь!,full_page,munchkin-booty
belaying-pin,Belaying Pin,Оснастный гвоздь,full_page,munchkin-booty
bell-of-dismissal,Bell of Dismissal,Увольнительный набат,set_listing_only,munchkin-pathfinder
belt-buckle-gun,Belt Buckle Gun /,,full_page,the-good-the-bad-and-the-munchkin
beltane-suspenders,Beltane Suspenders,Белейновые подтяжки,full_page,munchkin-bites
bermuda-shorts-of-invulnerability,Bermuda Shorts of Invulnerability,Бермуды неуязвимости,full_page,munchkin-legends
best-fairy-ever,Best Fairy Ever /,,full_page,axe-cop|munchkin-axe-cop
betray-the-party,Betray the Party,Предай друзей,full_page,half-horse-will-travel
betrayed,Betrayed! /,,full_page,munchkin-conan
better-costume-than-yours,Better Costume Than Yours,Костюм круче твоего,full_page,super-munchkin
better-offer,Better Offer,Лучшая Доля,full_page,star-munchkin
beverly-hells,Beverly Hells /,,full_page,terrible-tombs
bi-refringent-goggles,Bi-Refringent Goggles,Очки двойного преломления,full_page,munchkin-steampunk
bi-sickle,Bi-Sickle,Серпаратор,full_page,the-need-for-steed
bicker-ichor,Bicker Ichor,Сволочной гной,full_page,munchkin-cthulhu
big-bang,Big Bang,Ловушка! Большой бадабум,full_page,the-clown-wars
big-black-45,Big Black .45,Черный Гигант .45,full_page,munchkin-fu
big-eyes-small-mouse,"Big Eyes, Small Mouse","Большие Глаза, Мелкая Мышь",full_page,munchkin-fu
big-fat-hairy-dale,Big Fat Hairy Dale,Жиртрест косматый,full_page,the-need-for-steed
big-fat-lyre,Big Fat Lyre,Неприкрытая лжира,full_page,clerical-errors
big-feet,Big Feet,Большие ноги,full_page,unnatural-axe
big-fifty,Big Fifty /,,full_page,beating-a-dead-horse
big-hair,Big Hair,Волосищи,full_page,the-narrow-s-cape
big-hand,Big Hand,Большая рука,full_page,armed-and-dangerous
big-honking-sword-of-character-whupping,Big Honking Sword of Character Whupping,Большой жуткий меч уничижения персонажей,full_page,clerical-errors
big-joe,Big Joe,Большой Петро,full_page,the-need-for-steed
big-macaque,Big Macaque,,set_listing_only,monky-business
big-ol,Big Ol' /,,full_page,beating-a-dead-horse
big-ol-planet-eater-guy,Big Ol' Planet Eater Guy,Старина планетоед,full_page,super-munchkin
big-red-button,Big Red Button,Большая Красная Кнопка,full_page,star-munchkin
bigfoot,Bigfoot,Бигфут,full_page,munchkin
bilgewater,Bilgewater,Ведро помоев,full_page,munchkin-booty
bilingual,Bilingual,Двуязыкость,full_page,jump-the-shark|munchkin-booty
bilocation,Bilocation /,,full_page,pants-macabre
bimborella,Bimborella,Блондурелла,full_page,super-munchkin
bionic-bimbo,Bionic Bimbo,Бионическая Крошка,full_page,star-munchkin
bipolar-bear,Bipolar Bear,Биполярный медведь,full_page,the-need-for-steed
bird-boy,Bird Boy,Птиц,full_page,super-munchkin
bird-flu,Bird Flu,Катастрофа! Птичий грипп,full_page,apocalypse|munchkin-apocalypse
birdhouse,Birdhouse,Скворечник,full_page,munchkin-zombies
birthday-cake-with-a-candle-of-you-on-top,Birthday Cake With A Candle Of You On Top /,,full_page,axe-cop|munchkin-axe-cop
bismarck-the-wonder-dog,Bismarck the Wonder Dog,Чудо-пёс Бисмарк,set_listing_only,munchkin-steampunk
bitten-by-a-caffeinated-hipster,Bitten by a Caffeinated Hipster,Покусан обкофеиненным хипстером,full_page,munchkin-hipsters
bituminous-adhesive,Bituminous Adhesive,Битумный клей,set_listing_only,munchkin-steampunk
black-and-blue-belt,Black and Blue Belt,,set_listing_only,monky-business
black-cauldron,Black Cauldron,Чёрный котёл,full_page,munchkin-bites
black-coffee,Black Coffee,Черный кофе,full_page,super-munchkin
black-hair-dye,Black Hair Dye /,,full_page,pants-macabre
black-hand-of-set,Black Hand of Set /,,full_page,munchkin-conan
black-hat,Black Hat /,,full_page,the-good-the-bad-and-the-munchkin
black-hole,Black Hole,Ловушка! Чёрная дыра,full_page,the-clown-wars
black-jade-spider,Black Jade Spider /,,full_page,munchkin-conan
black-lotus-powder,Black Lotus Powder /,,full_page,munchkin-conan
black-nail-polish,Black Nail Polish,Чёрный лак,full_page,munchkin-bites
black-oops,Black Oops! /,,full_page,munchkin-impossible
black-scorpion,Black Scorpion /,,full_page,munchkin-conan
blackaxe,Blackaxe,Чёрный топор,set_listing_only,munchkin-pathfinder
blackbeard,Blackbeard,Чёрная Борода,full_page,munchkin-booty
blacker-than-black,Blacker than Black /,,full_page,pants-macabre
blade-gun,Blade Gun /,,full_page,axe-cop|munchkin-axe-cop
blame-the-government,Blame the Government,Обвини правительство,full_page,apocalypse|munchkin-apocalypse
blank-dog,Blank Dog,Колеблющийся кобель,full_page,the-need-for-steed
blanket-of-invisibility,Blanket of Invisibility,Попона невидимости,full_page,half-horse-will-travel
blasphemous,Blasphemous,Нечестивый,full_page,munchkin-cthulhu
blaze-a-trail,Blaze a Trail,Освети тропу,set_listing_only,munchkin-pathfinder
blazer,Blazer,Жгучий жакет,set_listing_only,munchkin-pathfinder
blessed,Blessed,Благословенный,full_page,clerical-errors
blessed-mallet-of-st-eeeeeeuuuuuuuuw,Blessed Mallet of St. Eeeeeeuuuuuuuuw,Освящённый Молот св.Иииээээхххха,full_page,unnatural-axe
blessing,Blessing,Благословение,full_page,de-ranged
blessing-of-epemitreus-the-sage,Blessing of Epemitreus the Sage /,,full_page,munchkin-conan
blessing-of-the-gods,Blessing of the Gods,Милость богов,full_page,munchkin-legends
blinders,Blinders,Шоры,full_page,half-horse-will-travel
blindfold,Blindfold,,set_listing_only,monky-business
blinky,Blinky,Мигала,full_page,the-clown-wars
blizzard,Blizzard,Катастрофа! Мороз,full_page,apocalypse|munchkin-apocalypse
bloatmage,Bloatmage,Пиявочник,set_listing_only,munchkin-pathfinder
blob,Blob,Шлёп,full_page,star-munchkin
blobgoblin,Blobgoblin,Жлабгоблин,full_page,de-ranged
blog-goblin,Blog Goblin,Блоггоблин,full_page,munchkin-pathfinder
