slug,title,text,related_card_slugs
бродячий-андед,Бродячий Андед,"Начиная с 11-10-2011 вы можете сыграть монстра-Андеда с руки в любой бой с участием Андеда без использования карты Бродячая Тварь. Если у вас есть карта, которая сделает монстра Андедом - вы можете сыграть ее вместе с обычным монстром, что бы воспользоваться этим правилом.
Это изменение затрагивает все сеты, но не затрагивает Манчкин Квест.
[пруф] или см. правила к любому сету начиная с версии 1.6",
важное-примечание-№5,Важное примечание №5,"Важное примечание №5: Наемнички, напарники и прочее
Когда вы играете в несколько колод, то считается, что Наемнички=Напарники=Бугаи=Приспешники. Другими словами, все они являются частью класса «наемник», и вы можете иметь только одну такую карту (не одну каждого вида), если только какие-нибудь карты или способности не позволяют иметь больше. И все они могут быть принесены в жертву для автоматической Смывки. И у них нет никаких особых способностей, кроме тех, что указаны на картах. Естественно, при игре одной колодой используются правила этой колоды.",
вместо-боя,Вместо боя,"Если на карте монстра написано, что можно не драться с ним или сделать что-то вместо боя (отдать шмотку, поменяться картами и т.д.), это можно сделать в любой момент, даже если ты уже в бою с ним. [пруф]","astro-muskrat-space-pirate,bionic-bimbo,creature-from-the-pink-lagoon,floating-nose,girl-wrestler,han-so-low,king-cobra,psi-psheriff,stoned-golem,thing-man-was-not-meant-to-know,tiny-but-advanced-creatures,wen-yen,whatever-woman"
дающие-наибольший-бонус,Дающие наибольший Бонус,"Неиспользуемые в данный момент шмотки не могут считаться дающими наибольший Бонус, т.к. они не дают Бонус в данный момент [пруф][пруф] 
Если у тебя нет ни одной шмотки с Бонусом, ты должен потерять любую свою шмотку (используемую без бонуса или неиспользуемую) [пруф][пруф]",truly-obnoxious-curse
делёж-сокровищ-срабатывающих-немедленно,"делёж сокровищ, срабатывающих немедленно","При победе в бою с помощником, если при вскрытии сокровищ обнаружилась карта, которую нужно сыграть немедленно (например Ура, клад!) её нужно сыграть до того, как стороны начнут делить сокровища. Ситуация равнозначна тому, когда после договора о помощи количество сокровищ за победу увеличилось. Хозяин боя должен разделить сокровища с Помощником в соответствии с изначальным договором [пруф].
Все сокровища берутся одновременно, а потом применяются эффекты, которые должны сработать немедленно [пруф].",
длительные-и-отложенные-проклятия,Длительные и отложенные Проклятия,"Карты Проклятий, оставленных как напоминание до отложенного эффекта (например Зеркало Злосчастья), не считаются картами в игре. [пруф]
Карты Проклятий, имеющих длительный эффект (например Курица на Башне), считаются картами в игре. [пруф]
Есть разница между картами, которые сами создают эффект, и картами, которые просто напоминают об эффекте. [пруф]","chicken-on-your-head,malign-mirror,annihilation"
зачаровывание-парочки,Зачаровывание Парочки,"Если вы зачаровали одного из монстров Гадкой Парочки (и аналогичных карт) - будьте внимательны: количество получаемых сокровищ зависит от итогового монстра. Т.е. если оставший просле Зачарования монстр подвергался действию карт-усилителей монстров, то количество сокровищ у зачарованного монстра также изменяется! [пруф] [пример]",wizard
изменения-правил-кораблейскакуновтачек-от-16092014,Изменения правил Кораблей/Скакунов/Тачек от 16.09.2014,"Изменение ОТМЕНЕНО, Корабль (Скакун, Тачка) может находиться в игре ТОЛЬКО в активном состоянии. Снова. [пруф]
Вы можете иметь в игре только один Корабль (Скакуна, Тачку) в любом состоянии, однако, в неактивном состоянии (""боком"", ""в рюкзаке"") свойство ""несёт себя сам"" не работает и Корабль (Скакун, Тачка) идёт в счёт ваших Больших Шмоток. [пруф]
Если нет причины, по которой Корабль (Скакун, Тачка) не может использоваться в данный момент, то он не может быть в неактивном состоянии. [пруф]",
использование-нескольких-соединённых-лазеров,Использование нескольких соединённых лазеров,"Иметь в составе соединённого оружия несколько -азеров-Агрегатов можно. [пруф]
В случае, если несколько -азеров соединены в одно оружие, ""Чит"" нельзя использовать на это оружие целиком, а можно только на один из -азеров (например, если два из -азеров являются Агрегатами, а ты можешь использовать только один). [пруф]
Нельзя подвергнуть всё оружие целиком Аннигиляции или Антиматерии... только одну карту! [пруф - правила игры]
Нельзя украсть всё оружие сразу, а только по одному -азеру. [пруф] Потому что несколько лазеров считаются одним оружием, но не одной шмоткой. [пруф]",
как-играть-модификаторы-шмоткискакунакораблянаёмника,Как играть Модификаторы Шмотки/Скакуна/Корабля/Наёмника,"Модификатор Шмотки/Скакуна/Корабля/Наёмника, который является шмоткой, нельзя выложить на стол неиспользуемым (без привязки к Шмотке/Скакуну/Кораблю/Наёмнику). [пруф] [пруф] [пруф]
Нельзя играть Модификатор Шмотки/Скакуна/Корабля/Наёмника в бою. [пруф]
На Скакунов нельзя играть Модификаторы Шмоток. [пруф]
Сыгранные Модификаторы, которые сами являются Шмотками, нельзя отсоединять (например, чтобы сбросить за Проклятие, Непотребство и т.д. или продать отдельно). [пруф]
Модификатор Шмотки может быть сыгран на неиспользуемую одноразовую Шмотку (или вместе с одноразовой Шмоткой с руки), если это позволяют условия из текстов Шмотки и модификатора. [пруф][пруф]",
как-играть-порталы,Как играть Порталы,"В свой ход можно открыть несколько Порталов и сменить/добавить несколько Подземелий.

Есть ограничение только на Порталы с руки - можно сыграть один Портал с руки за ход согласно правилам.

Нет ограничения на открытие Порталов за вышибленной дверью. Также с руки можно несколько раз сбрасывать по 4 карты (за одно новое Подземелье) пока хватает карт в руке. [пруф]",
как-играть-скакуна,Как играть Скакуна,"Можно ли сыграть Скакуна с руки во время Поиска Неприятностей?
Нет.
Со Скакуном можно сражаться только во время Открытия Двери. Можно ли сбрасывать Скакуна для автосмывки (по аналогии с Наемником)?
Нет, если на карте не сказано обратного.
У меня огнедышащий Скакун. Значит ли это, что мои атаки становятся огненными/пламенными?
Да.",
как-играть-усилители-шмоткискакунакораблянаёмника,Как играть Усилители Шмотки/Скакуна/Корабля/Наёмника,"Усилитель Шмотки/Скакуна/Корабля/Наёмника, который является шмоткой, нельзя выложить на стол неиспользуемым (без привязки к Шмотке/Скакуну/Кораблю/Наёмнику) [пруф] [пруф] [пруф] [пруф].
Нельзя играть Усилитель Шмотки/Скакуна/Корабля/Наёмника в бою. [пруф]
На Скакунов нельзя играть Усилители Шмоток. [пруф]
Сыгранные Усилители, которые сами являются Шмотками, нельзя отсоединять (например, чтобы сбросить за Проклятие, Непотребство и т.д. или продать отдельно). [пруф]
Усилитель Шмотки может быть сыгран на неиспользуемую одноразовую Шмотку (или вместе с одноразовой Шмоткой с руки), если это позволяют условия из текстов Шмотки и усилителя. [пруф][пруф]",
как-играть-усилитель-скакуна,Как играть усилитель скакуна,"Нужно делать что-то особенное, что бы сыграть Усилитель Скакуна?
Нет. Это такой же усилитель, как и Усилитель Шмотки, только он играется исключительно на Скакуна",
карты-и-способности-повышающие-уровень,"Карты и способности, повышающие уровень","Нельзя играть карту или использовать способность, позволяющую получить уровень, если для получения этого уровня нужно убить Монстра. (просто для того, чтобы разыграть другую часть эффекта карты/способности) [пруф]","kill-a-hireling,kill-a-steed,kill-the-hireling-fu,kill-the-hireling-m1,senseless-act-of-kindness,steal-a-level"
карты-уравниваюшие-боевые-силы-сторон,"карты, уравниваюшие боевые силы сторон","Если карта делает Боевые Силы сторон равными или отличающимися на 1, то это значит, что эта карта даёт проигрывающей стороне необходимое количество Бонусов. [пруф]","mexican-standoff,plot-device-0"
карты-шмотки-используемые-совместно,"Карты (Шмотки), используемые совместно","Если одну из используемых совместно карт (в том числе Шмоток; например, Броник, на котором написано ""Можно носить с другим Броником"", или Модификатор шмотки) сбрасывают/крадут/дарят и т.п., то надо следовать тексту других карт в связке, чтобы понять, сбрасываются они или уходят к новому владельцу [пруф] [пруф].
Если шмотка имеет особенность использоваться совместно с другими такого же типа (например, если Броник можно ""надевать"" даже если есть другой ""надетый"" Броник), то при воровстве забирается только одна конкретная карта, а не все карты этого типа вместе. Ранее на форуме был официальный ответ, что такие шмотки всегда уходят вместе, но сейчас официальная позиция изменилась. Такие шмотки уходят вместе только если должна уйти шмотка конкретно этого типа (например Проклятие! Потеряй Броник) [пруф].","amazingly-cool-sunglasses,awful-socks,cat-ears,cultist-t-shirt,gnomex-suit,hong-kong-sarong,hong-kong-thong,kamikaze-headband,kevlar-bikini,knight-light,miskatonic-university-t-shirt,neon-kimono,ninja-mask,no-no-kimono,raincoat,schadenfreudian-slip,silk-armor,tweed-jacket"
когда-играть,Когда играть,"Играть в любой момент своего хода (даже в бою) или как только вы получили карту.  [пруф]
Сбросить в любой момент.",
когда-играть-усилители-монстров,Когда играть усилители монстров,"Усилители может играть любой игрок во время любого боя.
Все усилители, сыгранные на одного монстра, суммируются. Если в бою несколько монстров, то игрок должен выбрать, на кого именно он играет усилитель. Исключение: Все, что усиливает монстра, усиливает и его Гадкую Парочку.",mate
когда-играть-шмотки,Когда играть Шмотки,"Любую Шмотку можно выложить на стол перед собой, как только вы ее получили или в любой момент своего хода (но не в бою)",
модификатор-скакуна,Модификатор Скакуна,"Модификатор Скакуна привязывается к Скакуну, на которого сыгран. Так как это Шмотка - она МОЖЕТ быть проданна отдельно, но если вы продаете Скакуна, вам нужно также продать или сбросить привязанный к нему Модификатор. [пруф][пруф]
Если карта или правило требуют забрать Скакуна на руку, все модификаторы, сыгранные на него, сбрасываются. Если Скакун перехожит к новому владельцу, но остаётся в игре, модификаторы сохраняются. [пруф]
На Скакуна, против которого бьются как против монстра, можно играть модификаторы монстров и нельзя играть модификаторы скакуна. [пруф]",
монстр-со-свойством-не-атакует,"Монстр со свойством ""не атакует""","С монстром, который не атакует персонажей какого-то типа, персонаж этого типа биться не может; монстр тут же сбрасывается. За него не полагается никакой награды, если только текст на нём не говорит об обратном; если же награда* полагается, она берётся только после победы над оставшимися в бою монстрами. [пруф]
* Использование особого свойства Адвоката, например, наградой не является. [пруф]","amazon,lawyers,psycho-squirrel"
награда-за-автоматическое-убийство,Награда за автоматическое убийство,"Если какие-то монстры в бою убиваются автоматически и немедленно, и после этого не осталось ни одного монстра, все равно можно больше нельзя добавлять монстров Бродячей Тварью и играть в этот бой карты, поскольку в этом случае согласно изменениям в FAQ от 2018 года бой немедленно заканчивается. [пруф] Чтобы получить Сокровища и Уровни за автоматически убитых монстров, необходимо выиграть весь бой, то есть победить остальных монстров. [пруф], [пруф]
Эффекты карт ""Зелье дружбы"", ""Ушёл на базу"" и другие подобные им не лишают игрока уровней за автоматическое убийство. [пруф]","airport-security,gas-mask,glass-jaw,idol-powder,janibot,leech-bomb,mailbox,mailman,mascot,potion-of-halitosis,the-churninator"
наёмник-с-классом-или-расой,Наёмник с Классом или Расой,"Если Наёмник, имеющий Класс, Расу или Пол, может нести шмотку, это может быть любая шмотка, подходящая для его Класса, Расы или Пола, не может быть шмотка, запрещенная для его Класса, Расы или Пола, и не может быть шмотка, подходящая только для другого Класса, Расы или Пола. [пруф]
Если Наёмник может нести шмотку, то на него не распространяются ограничения по количеству Больших шмоток, Рук и т.п. [пруф]
Наемник без расы не считается человеком. [пруф]",
не-преследует,не преследует,"В: Я встретил монстра, который ""Не преследует никого, чей Уровень Х или ниже"". Я ниже указанного Уровня. Могу ли я биться с этим монстром?
О: Разумеется, ты можешь (фактически обязан примечание переводчика) драться с монстром. Если ты не сможешь выиграть и собираешься Смываться, то твоя Смывка будет автоматической (без броска кубика).
В: У меня 2й уровень и на меня нападает монстр 9го уровня. В бой вступает игрок 5го уровня. Третий игрок подкидывает нам монстра, который не преследует игроков 3го уровня и ниже. Мы проигрываем и вынуждены Смываться. Подкинутый монстр преследует обоих?
О: Во время боя монстры сражаются вместе. Но когда дело доходит до преследования, они действуют самостоятельно и манчкины пытаются сбежать от каждого из них по отдельности. То есть подкинутый монстр не преследует тебя, но преследует твоего помощника.",
негатив-даже-если-смылся,Негатив даже если смылся,"Применение любой автоматической смывки, в т.ч. сброс Наёмника, не спасает от негативного эффекта ""даже если успешно смылся"" [пруф]. Не спасает и розыгрыш Волшебной лампы после броска на смывку [пруф].
Негатив ""даже если успешно смылся"" применяется после броска на смывку, независимо от результата, затем, если результат был неудачным, применяется Непотребство, если оно еще не выполнилось при выполнении этого негативного эффекта [пруф].",
огненная-атака,Огненная атака,"Огненную атаку даёт любая используемая шмотка, у которой в тексте явно сказано, что она наносит огненный урон, либо на карте явно изображен огонь, либо в названии есть слова ""огонь"", ""пламя"", ""пламенный"" и т.п. [пруф] Также огненными считаются Лазеры из Звездного Манчкина (см.правила).
 
FAQ:
В: У меня огнедышащий Скакун. Значит ли это, что мои атаки становятся огненными/пламенными?
О: Да.","fireman,frost-giant,game-show-host,large-angry-chicken,mascot,wino"
ограничение-на-развитие-стиля,Ограничение на Развитие Стиля,"Есть ли ограничение на количество Развитий Стиля?
Нет, если это не указано на какой-либо карте. Ваш Стиль может быть улучшен столько раз, сколько вы захотите.",
одежда,Одежда,"Одеждой считается все, что нужно НАДЕВАТЬ, а не просто БРАТЬ [пруф]. Включая броники, головняки и обувку [пруф].",itching-powder
перед-боем,Перед боем,"На помощника, вступившего в бой с монстром, имеющим эффект ""перед боем"", этот эффект не влияет [пруф]. 
Зелье Стрелочника не перезапускает эффект ""перед боем"" [пруф].","tchoo-tchoo-people,tongue-demon,transferral-potion,weapon-gaki"
печати,Печати,"Каждый монстр получает +1 за каждую открытую Сивучать.  [пруф]
Длительный эффект Сивучати также дает Бонус каждому монстру. [пруф]
При подсчёте количества Сивучатей, необходимого для завершения партии, учитываются только те, что находятся в игре. Игра заканчивается не после того, как откроется седьмая карта Сивучати вообще, а тогда, когда их будет семь открытых. Другими словами, закрытые Сивучати не считаются. [пруф]",
подонки,Подонки,"Все Подонки получают +4 только в случае, если их добавляют в бой. Если же, напротив, в бой с Подонками добавляется монстр, +4 они не получают. [пруф]
Подонки возвращатся обратно в руку только в случае, если были сыграны в помощь другому монстру; если был проигран бой с Подонками, начавшийся после Поиска неприятностей, они в руку не возвращаются. [пруф]","four-more-wimpy-thugs,more-wimpy-thugs,still-more-wimpy-thugs,three-more-wimpy-thugs,wimpy-thugs"
помощь-гаки,Помощь Гаки,"На всех картах Гаки сказано «любой может сыграть любую карту, чтобы помочь Гаки. Любая карта, которая обычно не помогают монстрам, дает Гаки +2». Что за карты имеются в виду?
Имеются в виду любые карты. Шмотки, Стили, Классы, карты монстров. Если карта не дает бонуса монстрам, ее можно сбросить, чтобы Гаки получил +2 за каждую сброшенную карту.",
порядок-бросков-кубика-по-эффекту-карты,Порядок бросков кубика по эффекту карты,"Если игроки должны бросить кубик, чтобы определить, на кого/как подействует эффект карты, все их броски считаются одновременными, даже если технически они были совершены последовательно. Читерский и Перечитерский кубики могут быть сыграны после бросков всех игроков. [пруф]","bard,magnificent-hat,rations-spoiled"
преимущества-без-недостатков-и-особенности-монстров,"""Преимущества без недостатков"" и особенности монстров","Возможность совершать сделки с монстрами и использовать их особенности не является преимуществом или недостатком. [пруф]
Поэтому, например, Адвокат так же не станет атаковать Вора-Суперманчкина, как и обычного Вора, а Халфлинг-Полукровка автоматически растопчет Могучего Микроба.","bilingual,double-mojo,half-breed,super-munchkin"
проклятия-в-начале-игры,Проклятия в начале игры,"Проклятия нельзя играть до того момента, как первый игрок вышибет первую дверь. [пруф] Это важно, например, в том случае, если у кого-то среди карт, взятых на руку перед началом игры, оказалась Шапочка из фольги, и нужно дать ему возможность её выложить, прежде чем играть проклятия. Воровать шмотки тоже нельзя [пруф].",
работа-способностей-расклассовстилей-и-тп,Работа способностей Рас/Классов/Стилей и т.п.,"Если нужно потратить карту для использования способности Расы/Класса/Стиля и т.п., эффект от неё сохраняется, даже если сбросить карту Расы/Класса/Стиля и т.п. [пруф]",
сброс-нескольких-карт,Сброс нескольких карт,"Сбрасываемые карты - публичная информация. При сбросе нескольких карт игрок должен показать все карты, прежде чем положить их в топку сброса, а после этого видна уже только верхняя карта [пруф][пруф]","cleric,wizard"
складывание-эффектов-удвоения-бонуса,складывание эффектов удвоения бонуса,"Если несколько эффектов удваивуют (утраивают и т.п.) бонус одной карты, то эффекты действуют последовательно, и каждый раз учитывается удвоение предыдущего эффека. Так разовая шмотка на +5, сыгранная Русским Ящерко Алхимиком, даст бонус (((+5x2)x2)x2) = +40 [пруф]. Однако, это не касается двух Дупельгангеров, они НЕ учитывают эффект друг друга, каждый из них дает бонус, равный боевой силе персонажа без Дупельгангеров [пруф в FAQ]","alchemist,doppleganger,lizard-guy,russian"
смерть-после-боя-с-несколькими-монстрами,Смерть после боя с несколькими монстрами,"В случае смерти после боя с несколькими монстрами игрок не получает НИКАКОГО негативного эффекта от тех монстров, от которых он даже не пытался смыться. [пруф]","king-tut,mr-bones,wight-brothers"
смывка,Смывка,"Смывка не является частью боя. Во время смывки нельзя играть карты, на которых сказано ""Играть в любой бой"". [пруф]
Нельзя добавлять ещё монстров, если игрок объявил, что будет смываться[пруф]",instant-wall
теряешь-головнякброникобувкускакунакорабльнамника,Теряешь Головняк/Броник/Обувку/Скакуна/Корабль/Намника,"Если сказано ""Теряешь свой Головняк/Броник/Обувку"", то теряешь все свои Головняки/Броники/Обувкув игре (используемые или нет - неважно). Если сказано ""Теряешь надетый Головняк/Броник/Обувку"", то теряешь только используемые Головняки/Броники/Обувку (в том числе с Читом). [пруф] Сесли сказано ""Теряешь Скакуна/Корабль/Наемника"" то ты теряешь их все. [пруф]",
три-порошка-лотоса,три порошка лотоса,"Если три порошка лотоса сыграны в помощь манчкинам, то монстры считаются убитыми и так можно получить победный уровень. Если три порошка сыграны в помощь монстрам, то манчкины автоматически проигрывают бой и должны перейти к смывке [пруф].","black-lotus-powder,gray-lotus-powder,purple-lotus-powder"
уровень-монстра,Уровень монстра,"Бонусы/штрафы, зависящие от уровня монстра, зависят только от значения его БАЗОВОГО УРОВНЯ (напечатанного на карте), а не боевой силы. Модификаторы монстров изменяют боевую силу монстра, но не его уровень: [пруф]",monster-whacker
шмотки-у-наёмника,Шмотки у Наёмника,"Если дать Наёмнику шмотку, то во всех отношениях считается, что эту шмотку используешь ты сам [пруф].
Если бонус шмотки зависит от класса/расы/пола, то учитывается класс/раса/пол Наёмничка, а не манчкина. Таким образом, если манчкин не-эльф даст Шлем-Рогач Эльфу-Наёмничку, то Шлем будет давать +3, а если манчкин эльф даст Шлем-Рогач наёмничку не-эльфу, то Шлем будет давать +1 [пруф].",
щиты-не-оружие,Щиты - не оружие,"Щит, хоть и использует руку, не является оружием [пруф] Устарело
Согласно ответу на вопрос про оружие в FAQ от 24 мая 2012 года, щит оружием является (так как занимает руку). Устарело
Щит не является оружием. Щит - это щит. [пруф]",
